make,fuel_type,aspiration,num_doors,body_style,drive_wheels,engine_location,engine_type,num_cylinders,fuel_system,body_style_cat
alfa-romero,gas,std,2,convertible,rwd,front,dohc,4,mpfi,0
alfa-romero,gas,std,2,convertible,rwd,front,dohc,4,mpfi,0
alfa-romero,gas,std,2,hatchback,rwd,front,ohcv,6,mpfi,2
audi,gas,std,4,sedan,fwd,front,ohc,4,mpfi,3
audi,gas,std,4,sedan,4wd,front,ohc,5,mpfi,3
audi,gas,std,2,sedan,fwd,front,ohc,5,mpfi,3
audi,gas,std,4,sedan,fwd,front,ohc,5,mpfi,3
audi,gas,std,4,wagon,fwd,front,ohc,5,mpfi,4
audi,gas,turbo,4,sedan,fwd,front,ohc,5,mpfi,3
audi,gas,turbo,2,hatchback,4wd,front,ohc,5,mpfi,2
bmw,gas,std,2,sedan,rwd,front,ohc,4,mpfi,3
bmw,gas,std,4,sedan,rwd,front,ohc,4,mpfi,3
bmw,gas,std,2,sedan,rwd,front,ohc,6,mpfi,3
bmw,gas,std,4,sedan,rwd,front,ohc,6,mpfi,3
bmw,gas,std,4,sedan,rwd,front,ohc,6,mpfi,3
bmw,gas,std,4,sedan,rwd,front,ohc,6,mpfi,3
bmw,gas,std,2,sedan,rwd,front,ohc,6,mpfi,3
bmw,gas,std,4,sedan,rwd,front,ohc,6,mpfi,3
chevrolet,gas,std,2,hatchback,fwd,front,l,3,2bbl,2
chevrolet,gas,std,2,hatchback,fwd,front,ohc,4,2bbl,2
chevrolet,gas,std,4,sedan,fwd,front,ohc,4,2bbl,3
dodge,gas,std,2,hatchback,fwd,front,ohc,4,2bbl,2
dodge,gas,std,2,hatchback,fwd,front,ohc,4,2bbl,2
dodge,gas,turbo,2,hatchback,fwd,front,ohc,4,mpfi,2
dodge,gas,std,4,hatchback,fwd,front,ohc,4,2bbl,2
dodge,gas,std,4,sedan,fwd,front,ohc,4,2bbl,3
dodge,gas,std,4,sedan,fwd,front,ohc,4,2bbl,3
dodge,gas,turbo,4,sedan,fwd,front,ohc,4,mpfi,3
dodge,gas,std,4,wagon,fwd,front,ohc,4,2bbl,4
dodge,gas,turbo,2,hatchback,fwd,front,ohc,4,mfi,2
honda,gas,std,2,hatchback,fwd,front,ohc,4,1bbl,2
honda,gas,std,2,hatchback,fwd,front,ohc,4,1bbl,2
honda,gas,std,2,hatchback,fwd,front,ohc,4,1bbl,2
honda,gas,std,2,hatchback,fwd,front,ohc,4,1bbl,2
honda,gas,std,2,hatchback,fwd,front,ohc,4,1bbl,2
honda,gas,std,4,sedan,fwd,front,ohc,4,1bbl,3
honda,gas,std,4,wagon,fwd,front,ohc,4,1bbl,4
honda,gas,std,2,hatchback,fwd,front,ohc,4,1bbl,2
